Academic Year,County Code,District Code,School Code,District Name,School Name,Altitude,Enrollment (K-12),Adjusted FRPM Count (K-12),Percent,PercentQualifiedAbove,PercentAffordAbove,PercentQualifiedBelow,PercentAffordBelow,Number,Charter School Number,Charter Funding Type,Low Grade,High Grade,LowHigh,Name2,Address,City,Zip,phone,Normalized Address,Latitude,Longitude
2013-14,1,61259,6001879,Oakland Unified,Grass Valley Elementary,132.5083313,269,190,0.706319703,0.463269132,0.536730868,0.796065653,0.203934347,11,,,K,5,K to 5,Grass Valley Elementary,4720 Dunkirk Ave.,Oakland,94605-5607,(510)_636-4653,"4720 Dunkirk Avenue, Oakland, CA 94605, USA",37.7531517,-122.124953
2013-14,1,61259,6001713,Oakland Unified,Howard Elementary,132.1015015,197,173,0.878172589,0.476748021,0.523251979,0.796652171,0.203347829,12,,,K,5,K to 5,Howard Elementary,8755 Fontaine St.,Oakland,94605-4197,(510)_639-3244,"8755 Fontaine Street, Oakland, CA 94605, USA",37.762239,-122.1522393
2013-14,1,61259,125856,Oakland Unified,100 Black Men of the Bay Area Community,116.1082535,103,60,0.582524272,0.478514675,0.521485325,0.796260131,0.203739869,13,1399,Directly funded,K,12,K to 12,100 Black Men of the Bay Area Community,3400 Malcolm Ave.,Oakland,94607-1404,(510)_763-3661,"3400 Malcolm Avenue, Oakland, CA 94605, USA",37.7461715,-122.1412179
2013-14,1,61259,106906,Oakland Unified,Bay Area Technology,102.6795502,239,176,0.736401674,0.488136122,0.511863878,0.796798904,0.203201096,14,661,Directly funded,6,12,6 to 12,Bay Area Technology,8251 Fontaine St.,Oakland,94605,(510)_645-9932,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523
2013-14,1,61259,6114011,Oakland Unified,"Independent Study, Sojourner Truth",102.6795502,215,137,0.637209302,0.492976892,0.507023108,0.797154251,0.202845749,15,,,K,12,K to 12,"Independent Study, Sojourner Truth",8251 Fontaine St.,Oakland,94605,(510)_729-4308,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523
2013-14,1,61259,130146,Oakland Unified,Rudsdale Continuation,102.6795502,149,98,0.657718121,0.496602659,0.503397341,0.798005296,0.201994704,16,,,9,12,9 to 12,Rudsdale Continuation,8251 Fontaine St.,Oakland,94605,(510)_636-7992,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523
2013-14,1,61259,6001689,Oakland Unified,Burckhalter Elementary,88.45680237,280,222,0.792857143,0.508368794,0.491631206,0.798524517,0.201475483,17,,,K,5,K to 5,Burckhalter Elementary,3994 Burckhalter Ave.,Oakland,94605-2616,(510)_729-7700,"3994 Burckhalter Avenue, Oakland, CA 94605, USA",37.7753478,-122.1668778
2013-14,1,61259,106542,Oakland Unified,Community Day,85.53245544,16,13,0.8125,0.509057458,0.490942542,0.79856421,0.20143579,18,,,9,12,9 to 12,Community Day,4917 Mountain Blvd.,Oakland,94619,(510)_531-6800,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773
2013-14,1,61259,106559,Oakland Unified,Oakland Community Day Middle,85.53245544,22,19,0.863636364,0.510158014,0.489841986,0.798558631,0.201441369,19,,,6,8,6 to 8,Oakland Community Day Middle,4917 Mountain Blvd.,Oakland,94619,(510)_531-6800,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773
2013-14,1,61259,6002174,Oakland Unified,Sequoia Elementary,83.91699219,445,216,0.485393258,0.508695075,0.491304925,0.798522784,0.201477216,20,,,K,5,K to 5,Sequoia Elementary,3730 Lincoln Ave.,Oakland,94602-2468,(510)_531-6696,"3730 Lincoln Avenue, Oakland, CA 94602, USA",37.8024159,-122.2109638
2013-14,1,61259,6001853,Oakland Unified,Glenview Elementary,80.88722229,465,171,0.367741935,0.500500125,0.499499875,0.802050893,0.197949107,21,,,K,5,K to 5,Glenview Elementary,4215 La Cresta Ave.,Oakland,94602-1739,(510)_531-6677,"4215 La Cresta Avenue, Oakland, CA 94602, USA",37.805891,-122.219759
2013-14,1,61259,6001648,Oakland Unified,Chabot Elementary,78.35523224,590,55,0.093220339,0.472519795,0.527480205,0.807225211,0.192774789,22,,,K,5,K to 5,Chabot Elementary,6686 Chabot Rd.,Oakland,94618-1641,(510)_654-4884,"6686 Chabot Road, Oakland, CA 94618, USA",37.8505437,-122.2409115
2013-14,1,61259,6001754,Oakland Unified,Crocker Highlands Elementary,71.75083923,431,26,0.060324826,0.452821821,0.547178179,0.818184183,0.181815817,23,,,K,5,K to 5,Crocker Highlands Elementary,525 Midcrest Rd.,Oakland,94610-1813,(510)_451-5900,"525 Midcrest Road, Oakland, CA 94610, USA",37.811037,-122.2272755
2013-14,1,61259,6056998,Oakland Unified,Bret Harte Middle,69.83882904,538,462,0.858736059,0.475672282,0.524327718,0.826777868,0.173222132,24,,,6,8,6 to 8,Bret Harte Middle,3700 Coolidge Ave.,Oakland,94602-3309,(510)_531-6400,"3700 Coolidge Avenue, Oakland, CA 94602, USA",37.7993378,-122.2064993
2013-14,1,61259,6001994,Oakland Unified,Laurel Elementary,68.05086517,556,447,0.803956835,0.493720953,0.506279047,0.82631902,0.17368098,25,,,K,5,K to 5,Laurel Elementary,3750 Brown Ave.,Oakland,94619-1406,(510)_531-6868,"3750 Brown Avenue, Oakland, CA 94619, USA",37.7928782,-122.1961447
2013-14,1,61259,6118640,Oakland Unified,Melrose Leadership Academy,65.7254715,354,257,0.725988701,0.501576383,0.498423617,0.826655831,0.173344169,26,,,K,8,K to 8,Melrose Leadership Academy,4730 Fleming Ave.,Oakland,94619,(510)_535-3832,"4730 Fleming Avenue, Oakland, CA 94619, USA",37.7805159,-122.1977728
2013-14,1,61259,6113807,Oakland Unified,American Indian Public Charter,65.43820953,198,153,0.772727273,0.506610408,0.493389592,0.827630535,0.172369465,27,106,Locally funded,5,8,5 to 8,American Indian Public Charter,3637 Magee Ave.,Oakland,94619,(510)_482-6000,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536
2013-14,1,61259,111856,Oakland Unified,American Indian Public High,65.43820953,149,121,0.812080537,0.510819308,0.489180692,0.827929489,0.172070511,28,765,Locally funded,9,12,9 to 12,American Indian Public High,3637 Magee Ave.,Oakland,94619,(510)_482-6000,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536
2013-14,1,61259,6057061,Oakland Unified,Edna Brewer Middle,61.87703323,807,565,0.700123916,0.523965235,0.476034765,0.827994698,0.172005302,29,,,6,8,6 to 8,Edna Brewer Middle,3748 13th Ave.,Oakland,94610-2820,(510)_531-6600,"3748 13th Avenue, Oakland, CA 94610, USA",37.8037458,-122.2293628
2013-14,1,61259,6001838,Oakland Unified,Fruitvale Elementary,58.26631165,437,339,0.775743707,0.533090065,0.466909935,0.830909142,0.169090858,30,,,K,5,K to 5,Fruitvale Elementary,3200 Boston Ave.,Oakland,94602-2899,(510)_535-2840,"3200 Boston Avenue, Oakland, CA 94602, USA",37.7962778,-122.2137663
2013-14,1,61259,6057004,Oakland Unified,Claremont Middle,56.33307648,448,276,0.616071429,0.53606269,0.46393731,0.831598513,0.168401487,31,,,6,8,6 to 8,Claremont Middle,5750 College Ave.,Oakland,94618-1629,(510)_654-7337,"5750 College Avenue, Oakland, CA 94618, USA",37.845545,-122.2518717
2013-14,1,61259,6002109,Oakland Unified,Peralta Elementary,52.3832283,338,113,0.334319527,0.530753659,0.469246341,0.834395458,0.165604542,32,,,K,5,K to 5,Peralta Elementary,460 63rd St.,Oakland,94609,(510)_654-7365,"460 63rd Street, Oakland, CA 94609, USA",37.8496814,-122.2589283
2013-14,1,61259,6001630,Oakland Unified,Allendale Elementary,49.64424896,385,362,0.94025974,0.542671404,0.457328596,0.839340042,0.160659958,33,,,K,5,K to 5,Allendale Elementary,3670 Penniman Ave.,Oakland,94619-1116,(510)_535-2812,"3670 Penniman Avenue, Oakland, CA 94619, USA",37.7885972,-122.204787
2013-14,1,61259,6002042,Oakland Unified,Manzanita Community,49.53087997,350,302,0.862857143,0.550924221,0.449075779,0.838190479,0.161809521,34,,,K,5,K to 5,Manzanita Community,2409 East 27th St.,Oakland,94601-1303,(510)_535-2822,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282
2013-14,1,61259,110247,Oakland Unified,Manzanita SEED,49.53087997,368,273,0.741847826,0.555961856,0.444038144,0.837932375,0.162067625,35,,,K,5,K to 5,Manzanita SEED,2409 East 27th St.,Oakland,94601-1303,(510)_535-2832,"2409 East 27th Street, Oakland, CA 94601, USA",37.7917497,-122.2248282
2013-14,1,61259,135905,Oakland Unified,Oakland High,47.58302689,1552,"1,344",0.865979381,0.587005613,0.412994387,0.839001239,0.160998761,36,,,9,12,9 to 12,Oakland High,1023 MacArthur Blvd.,Oakland,94610-3930,(510)_874-3676,"1023 MacArthur Boulevard, Oakland, CA 94610, USA",37.8044662,-122.2369001
2013-14,1,61259,6001655,Oakland Unified,Bella Vista Elementary,46.58955383,504,328,0.650793651,0.58901456,0.41098544,0.837673253,0.162326747,37,,,K,5,K to 5,Bella Vista Elementary,1025 East 28th St.,Oakland,94610-4018,(510)_436-4900,"1025 East 28th Street, Oakland, CA 94610, USA",37.800184,-122.2373489
2013-14,1,61259,6002117,Oakland Unified,Piedmont Avenue Elementary,42.05488968,381,283,0.742782152,0.592590332,0.407409668,0.840709106,0.159290894,38,,,K,5,K to 5,Piedmont Avenue Elementary,4314 Piedmont Ave.,Oakland,94611-4716,(510)_654-7377,"4314 Piedmont Avenue, Oakland, CA 94611, USA",37.8288057,-122.2485874
2013-14,1,61259,110254,Oakland Unified,Sankofa Academy,40.02755737,328,290,0.884146341,0.59831259,0.40168741,0.841926641,0.158073359,39,,,P,8,P to 8,Sankofa Academy,581 61st St.,Oakland,94609,(510)_654-7787,"581 61st Street, Oakland, CA 94609, USA",37.8469502,-122.2646297
2013-14,1,61259,6002091,Oakland Unified,Parker Elementary,36.17827606,214,204,0.953271028,0.602800425,0.397199575,0.841469851,0.158530149,40,,,K,5,K to 5,Parker Elementary,7929 Ney Ave.,Oakland,94605-3311,(510)_879-1440,"7929 Ney Avenue, Oakland, CA 94605, USA",37.7655642,-122.1657365
2013-14,1,61259,6001739,Oakland Unified,Cleveland Elementary,35.81106186,387,232,0.599483204,0.602726275,0.397273725,0.840675038,0.159324962,41,,,K,5,K to 5,Cleveland Elementary,745 Cleveland St.,Oakland,94606-1513,(510)_874-3600,"745 Cleveland Street, Oakland, CA 94606, USA",37.8039122,-122.2437517
2013-14,1,61259,6057087,Oakland Unified,Roosevelt Middle,35.01054764,574,553,0.963414634,0.614300889,0.385699111,0.843816254,0.156183746,42,,,6,8,6 to 8,Roosevelt Middle,1926 19th Ave.,Oakland,94606-4170,(510)_535-2877,"1926 19th Avenue, Oakland, CA 94606, USA",37.7897817,-122.2373363
2013-14,1,61259,136051,Oakland Unified,Oakland Technical High,34.83662796,2092,"1,121",0.53585086,0.606086391,0.393913609,0.841460485,0.158539515,43,,,9,12,9 to 12,Oakland Technical High,4351 Broadway,Oakland,94611-4612,(510)_450-5400,"4351 Broadway, Oakland, CA 94611, USA",37.8323963,-122.2544467
2013-14,1,61259,121210,Oakland Unified,Infant and Preschool Program,34.66066742,3,2,0.666666667,0.606095486,0.393904514,0.865096676,0.134903324,44,,,P,P,P to P,Infant and Preschool Program,4521 Webster St.,Oakland,94609,(510)_597-4294,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771
2013-14,1,61259,115667,Oakland Unified,Oakland International High,34.66066742,353,286,0.8101983,0.609638554,0.390361446,0.865118687,0.134881313,45,,,9,12,9 to 12,Oakland International High,4521 Webster St.,Oakland,94609-2140,(510)_597-4287,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771
2013-14,1,61259,6001812,Oakland Unified,Emerson Elementary,34.15304184,335,276,0.823880597,0.613110789,0.386889211,0.865844978,0.134155022,46,,,K,5,K to 5,Emerson Elementary,4803 Lawton Ave.,Oakland,94609-2208,(510)_654-7373,"4803 Lawton Avenue, Oakland, CA 94609, USA",37.8343895,-122.2573247
2013-14,1,61259,115584,Oakland Unified,Global Family,29.90090179,417,407,0.976019185,0.620287381,0.379712619,0.866378329,0.133621671,47,,,K,5,K to 5,Global Family,2035 40th Ave.,Oakland,94601-4203,(510)_535-3862,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426
2013-14,1,61259,115592,Oakland Unified,Learning Without Limits,29.90090179,388,363,0.93556701,0.625983702,0.374016298,0.864615859,0.135384141,48,1442,Directly funded,K,5,K to 5,Learning Without Limits,2035 40th Ave.,Oakland,94601-4203,(510)_879-1282,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426
2013-14,1,61259,108803,Oakland Unified,Aspire Millsmont Academy,28.8275032,266,234,0.879699248,0.629087898,0.370912102,0.863538528,0.136461472,49,689,Directly funded,K,12,K to 12,Aspire Millsmont Academy,3200 62nd Ave.,Oakland,94605-1614,(510)_638-9445,"3200 62nd Avenue, Oakland, CA 94605, USA",37.7739556,-122.1825204
2013-14,1,61259,130575,Oakland Unified,LIFE Academy,26.86009598,419,395,0.942720764,0.635018051,0.364981949,0.863368529,0.136631471,50,,,6,12,6 to 12,LIFE Academy,2101 35th Ave.,Oakland,94601-3124,(510)_534-0282,"2101 35th Avenue, Oakland, CA 94601, USA",37.7848014,-122.2169083
2013-14,1,61259,112763,Oakland Unified,United for Success Academy,26.86009598,436,417,0.956422018,0.641219685,0.358780315,0.862031526,0.137968474,51,,,6,8,6 to 8,United for Success Academy,2101 35th Ave.,Oakland,94601-3124,(510)_535-3880,"2101 35th Avenue, Oakland, CA 94601, USA",37.7848014,-122.2169083
2013-14,1,61259,100065,Oakland Unified,Oakland Unity High,25.4230938,292,227,0.77739726,0.642957008,0.357042992,0.860347086,0.139652914,52,510,Directly funded,9,12,9 to 12,Oakland Unity High,6038 Brann St.,Oakland,94605-1544,(510)_635-7170,"6038 Brann Street, Oakland, CA 94605, USA",37.7735522,-122.184786
2013-14,1,61259,6117394,Oakland Unified,Reems (Ernestine C.) Academy of Technology and Art,23.85017395,223,222,0.995515695,0.646358877,0.353641123,0.861350456,0.138649544,53,218,Directly funded,K,8,K to 8,Reems (Ernestine C.) Academy of Technology and Art,8425 MacArthur Blvd.,Oakland,94605-3553,(510)_729-6635,"8425 MacArthur Boulevard, Oakland, CA 94605, USA",37.7609904,-122.1640666
2013-14,1,61259,6057020,Oakland Unified,Frick Middle,22.74165154,312,298,0.955128205,0.650471759,0.349528241,0.860099511,0.139900489,54,,,6,8,6 to 8,Frick Middle,2845 64th Ave.,Oakland,94605-2027,(510)_729-7736,"2845 64th Avenue, Oakland, CA 94605, USA",37.7714567,-122.1841092
2013-14,1,61259,125161,Oakland Unified,Castlemont High,22.4174099,564,490,0.868794326,0.655605119,0.344394881,0.858843465,0.141156535,55,,,9,12,9 to 12,Castlemont High,8601 MacArthur Blvd.,Oakland,94605-4037,(510)_636-1466,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259
2013-14,1,61259,126748,Oakland Unified,LPS Oakland R & D Campus,22.4174099,303,281,0.927392739,0.658995471,0.341004529,0.858599887,0.141400113,56,1449,Directly funded,9,12,9 to 12,LPS Oakland R & D Campus,"8601 MacArthur Blvd., Bldg. 100",Oakland,94605,(510)_633-0750,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259
2013-14,1,61259,130179,Oakland Unified,Street Academy (Alternative),21.08742142,88,66,0.75,0.659323981,0.340676019,0.857683174,0.142316826,57,,,9,12,9 to 12,Street Academy (Alternative),417 29th St.,Oakland,94609-3510,(510)_874-3630,"417 29th Street, Oakland, CA 94609, USA",37.8176007,-122.2654307
2013-14,1,61259,6001929,Oakland Unified,Horace Mann Elementary,20.19066048,369,344,0.932249322,0.663393543,0.336606457,0.858101545,0.141898455,58,,,K,5,K to 5,Horace Mann Elementary,5222 Ygnacio Ave.,Oakland,94601-5422,(510)_879-1360,"5222 Ygnacio Avenue, Oakland, CA 94601, USA",37.7735177,-122.2023497
2013-14,1,61259,6118657,Oakland Unified,Urban Promise Academy,20.0296917,324,316,0.975308642,0.667424514,0.332575486,0.856873569,0.143126431,59,,,6,8,6 to 8,Urban Promise Academy,3031 East 18th St.,Oakland,94601,(510)_436-3636,"3031 East 18th Street, Oakland, CA 94601, USA",37.7819549,-122.22422
2013-14,1,61259,100123,Oakland Unified,East Oakland Leadership Academy,19.67412758,116,113,0.974137931,0.668837099,0.331162901,0.855125928,0.144874072,60,499,Directly funded,K,8,K to 8,East Oakland Leadership Academy,2614 Seminary Ave.,Oakland,94605,(510)_562-5238,"2614 Seminary Avenue, Oakland, CA 94605, USA",37.771791,-122.189673
2013-14,1,61259,130617,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",19.62571144,719,512,0.712100139,0.670037829,0.329962171,0.854493842,0.145506158,61,349,Directly funded,6,12,6 to 12,"Oakland Military Institute, College Preparatory Academy",3877 Lusk St.,Oakland,94608-3822,(510)_594-3900,"3877 Lusk Street, Emeryville, CA 94608, USA",37.8294493,-122.2728579
2013-14,1,61259,111476,Oakland Unified,Achieve Academy,19.59495354,207,207,1,0.672653468,0.327346532,0.859340971,0.140659029,62,780,Directly funded,4,5,4 to 5,Achieve Academy,1700 28th Ave.,Oakland,94601-2455,(510)_904-6440,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161
2013-14,1,61259,109983,Oakland Unified,World Academy,19.59495354,475,465,0.978947368,0.67812547,0.32187453,0.857948841,0.142051159,63,745,Directly funded,K,5,K to 5,World Academy,1700 28th Ave.,Oakland,94601-2455,(510)_904-6400,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161
2013-14,1,61259,6117972,Oakland Unified,North Oakland Community Charter,17.67119408,223,47,0.210762332,0.674238186,0.325761814,0.855136986,0.144863014,64,302,Directly funded,K,8,K to 8,North Oakland Community Charter,1000 42nd St.,Oakland,94608-3621,(510)_655-0540,"1000 42nd Street, Oakland, CA 94608, USA",37.8328826,-122.2766295
2013-14,1,61259,128413,Oakland Unified,Aspire College Academy,17.25121689,254,244,0.960629921,0.676925919,0.323074081,0.862244646,0.137755354,65,1577,Directly funded,K,5,K to 5,Aspire College Academy,8030 Atherton St.,Oakland,94605,(510)_562-8030,"8030 Atherton Street, Oakland, CA 94605, USA",37.7612383,-122.1708251
2013-14,1,61259,6001846,Oakland Unified,Garfield Elementary,15.92616749,604,559,0.925496689,0.682352091,0.317647909,0.860992837,0.139007163,66,,,K,5,K to 5,Garfield Elementary,1640 22nd Ave.,Oakland,94606-4710,(510)_535-2857,"1640 22nd Avenue, Oakland, CA 94606, USA",37.7865043,-122.2356409
2013-14,1,61259,120188,Oakland Unified,Aspire ERES Academy,15.23719501,222,216,0.972972973,0.684665304,0.315334696,0.858980319,0.141019681,67,1115,Directly funded,K,8,K to 8,Aspire ERES Academy,1936 Courtland Ave.,Oakland,94601,(510)_436-9760,"1936 Courtland Avenue, Oakland, CA 94601, USA",37.7757061,-122.2117101
2013-14,1,61259,6111660,Oakland Unified,Oakland Charter Academy,14.33290482,380,336,0.884210526,0.687347459,0.312652541,0.85765794,0.14234206,68,14,Directly funded,6,8,6 to 8,Oakland Charter Academy,3001 International Blvd.,Oakland,94601-1404,(510)_532-6751,"3001 International Boulevard, Oakland, CA 94601, USA",37.7783918,-122.2281381
2013-14,1,61259,115600,Oakland Unified,East Oakland Pride Elementary,14.11777973,456,442,0.969298246,0.691823024,0.308176976,0.857120009,0.142879991,69,,,K,5,K to 5,East Oakland Pride Elementary,8000 Birch St.,Oakland,94621-2123,(510)_636-8217,"8000 Birch Street, Oakland, CA 94621, USA",37.759068,-122.1745503
2013-14,1,61259,125716,Oakland Unified,Fremont High,13.66384888,727,602,0.828060523,0.695185713,0.304814287,0.8543249,0.1456751,70,,,9,12,9 to 12,Fremont High,4610 Foothill Blvd.,Oakland,94601-4618,(510)_434-5257,"4610 Foothill Boulevard, Oakland, CA 94601, USA",37.7743865,-122.2102413
2013-14,1,61259,114868,Oakland Unified,Oakland Charter High,13.15417099,266,210,0.789473684,0.69602961,0.30397039,0.855411403,0.144588597,71,883,Directly funded,9,12,9 to 12,Oakland Charter High,345 12th St.,Oakland,94607,(510)_893-8700,"345 12th Street, Oakland, CA 94607, USA",37.8018011,-122.2694701
2013-14,1,61259,6002059,Oakland Unified,Markham Elementary,12.91150761,346,335,0.968208092,0.699161844,0.300838156,0.856424775,0.143575225,72,,,K,5,K to 5,Markham Elementary,7220 Krause Ave.,Oakland,94605-2380,(510)_639-3202,"7220 Krause Avenue, Oakland, CA 94605, USA",37.7653407,-122.1785765
2013-14,1,61259,6118616,Oakland Unified,International Community,12.54784966,345,329,0.953623188,0.702048601,0.297951399,0.854144558,0.145855442,73,,,K,5,K to 5,International Community,2825 International Blvd.,Oakland,94601-1543,(510)_532-5400,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619
2013-14,1,61259,100792,Oakland Unified,Think College Now,12.54784966,305,274,0.898360656,0.703997916,0.296002084,0.852079196,0.147920804,74,,,K,5,K to 5,Think College Now,2825 International Blvd.,Oakland,94601,(510)_532-5500,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619
2013-14,1,61259,6002018,Oakland Unified,Lincoln Elementary,12.48106766,746,647,0.867292225,0.707869811,0.292130189,0.85121383,0.14878617,75,,,K,5,K to 5,Lincoln Elementary,225 11th St.,Oakland,94607-4409,(510)_874-3372,"225 11th Street, Oakland, CA 94607, USA",37.7999365,-122.2671804
2013-14,1,61259,110239,Oakland Unified,Reach Academy,12.17992878,382,350,0.916230366,0.7103693,0.2896307,0.850443274,0.149556726,76,,,K,5,K to 5,Reach Academy,9860 Sunnyside St.,Oakland,94603,(510)_729-7775,"9860 Sunnyside Street, Oakland, CA 94603, USA",37.7464704,-122.1614182
2013-14,1,61259,115238,Oakland Unified,ARISE High,12.15476227,247,233,0.943319838,0.712162288,0.287837712,0.848788198,0.151211802,77,837,Directly funded,9,12,9 to 12,ARISE High,"3301 East 12th St., Ste. 205",Oakland,94601-2940,(510)_436-5487,"3301 East 12th Street #205, Oakland, CA 94601, USA",37.7758226,-122.2247846
2013-14,1,61259,6117568,Oakland Unified,Aspire Monarch Academy,12.13781929,393,380,0.96692112,0.715244428,0.284755572,0.847225012,0.152774988,78,252,Directly funded,K,5,K to 5,Aspire Monarch Academy,1445 101st Ave.,Oakland,94603-3207,(510)_568-3101,"1445 101st Avenue, Oakland, CA 94603, USA",37.74265,-122.1679083
2013-14,1,61259,109819,Oakland Unified,Aspire Berkley Maynard Academy,12.12145996,561,452,0.8057041,0.716780148,0.283219852,0.843990649,0.156009351,79,726,Directly funded,K,8,K to 8,Aspire Berkley Maynard Academy,6200 San Pablo Ave.,Oakland,94608-2228,(510)_658-2900,"6200 San Pablo Avenue, Oakland, CA 94608, USA",37.8452516,-122.284362
2013-14,1,61259,6001820,Oakland Unified,Franklin Elementary,11.74593353,750,668,0.890666667,0.720639148,0.279360852,0.845526711,0.154473289,80,,,K,5,K to 5,Franklin Elementary,915 Foothill Blvd.,Oakland,94606-3013,(510)_874-3354,"915 Foothill Boulevard, Oakland, CA 94606, USA",37.7935615,-122.2486628
2013-14,1,61259,114363,Oakland Unified,American Indian Public Charter School II,11.32755947,483,357,0.739130435,0.720899702,0.279100298,0.842968337,0.157031663,81,882,Directly funded,K,8,K to 8,American Indian Public Charter School II,171 12th St.,Oakland,94607-4900,(510)_893-8701,"171 12th Street, Oakland, CA 94607, USA",37.8001539,-122.265589
2013-14,1,61259,6057046,Oakland Unified,Hoover Elementary,10.93329048,291,254,0.872852234,0.722178831,0.277821169,0.846901961,0.153098039,82,,,K,5,K to 5,Hoover Elementary,890 Brockhurst St.,Oakland,94608-4318,(510)_879-1700,"890 Brockhurst Street, Oakland, CA 94608, USA",37.823272,-122.27426
