Academic Year,County Code,District Code,School Code,District Name,School Name,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Adjusted FRPM Count (K-12),Percent,LowHigh,Name2,Address,City,Zip,phone,Normalized Address,Latitude,Longitude,Altitude,Normalized Address,Latitude,Longitude,Altitude
2013-14,1,61259,120188,Oakland Unified,Aspire ERES Academy,1115,Directly funded,K,8,222,216,0.972972973,K to 8,Aspire ERES Academy,1936 Courtland Ave.,Oakland,94601,(510)_436-9760,"1936 Courtland Avenue, Oakland, CA 94601, USA",37.7757061,-122.2117101,15.23719501495361,"1936 Courtland Avenue, Oakland, CA 94601, USA",37.7757061,-122.2117101,15.23719501495361
2013-14,1,61259,118224,Oakland Unified,Aspire Golden State College Preparatory Academy,1023,Directly funded,6,12,524,456,0.870229008,6 to 12,Aspire Golden State College Preparatory Academy,1009 66th Ave.,Oakland,94610-3430,(510)_562-8030,"1009 66th Avenue, Oakland, CA 94621, USA",37.7590969,-122.1980651,3.770155429840088,"1009 66th Avenue, Oakland, CA 94621, USA",37.7590969,-122.1980651,3.770155429840088
2013-14,1,61259,130666,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,465,Directly funded,6,12,499,469,0.93987976,6 to 12,Aspire Lionel Wilson College Preparatory Academy,400 105th Ave.,Oakland,94603-2968,(510)_635-7737,"400 105th Avenue, Oakland, CA 94603, USA",37.7294775,-122.180129,7.244675159454346,"400 105th Avenue, Oakland, CA 94603, USA",37.7294775,-122.180129,7.244675159454346
2013-14,1,61259,108803,Oakland Unified,Aspire Millsmont Academy,689,Directly funded,K,12,266,234,0.879699248,K to 12,Aspire Millsmont Academy,3200 62nd Ave.,Oakland,94605-1614,(510)_638-9445,"3200 62nd Avenue, Oakland, CA 94605, USA",37.7739556,-122.1825204,28.8275032043457,"3200 62nd Avenue, Oakland, CA 94605, USA",37.7739556,-122.1825204,28.8275032043457
2013-14,1,61259,6117568,Oakland Unified,Aspire Monarch Academy,252,Directly funded,K,5,393,380,0.96692112,K to 5,Aspire Monarch Academy,1445 101st Ave.,Oakland,94603-3207,(510)_568-3101,"1445 101st Avenue, Oakland, CA 94603, USA",37.74265,-122.1679083,12.13781929016113,"1445 101st Avenue, Oakland, CA 94603, USA",37.74265,-122.1679083,12.13781929016113
2013-14,1,61259,106906,Oakland Unified,Bay Area Technology,661,Directly funded,6,12,239,176,0.736401674,6 to 12,Bay Area Technology,8251 Fontaine St.,Oakland,94605,(510)_645-9932,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984
2013-14,1,61259,6001655,Oakland Unified,Bella Vista Elementary,,,K,5,504,328,0.650793651,K to 5,Bella Vista Elementary,1025 East 28th St.,Oakland,94610-4018,(510)_436-4900,"1025 East 28th Street, Oakland, CA 94610, USA",37.800184,-122.2373489,46.58955383300781,"1025 East 28th Street, Oakland, CA 94610, USA",37.800184,-122.2373489,46.58955383300781
2013-14,1,61259,6056998,Oakland Unified,Bret Harte Middle,,,6,8,538,462,0.858736059,6 to 8,Bret Harte Middle,3700 Coolidge Ave.,Oakland,94602-3309,(510)_531-6400,"3700 Coolidge Avenue, Oakland, CA 94602, USA",37.7993378,-122.2064993,69.83882904052734,"3700 Coolidge Avenue, Oakland, CA 94602, USA",37.7993378,-122.2064993,69.83882904052734
2013-14,1,61259,6002075,Oakland Unified,Bridges Academy,,,K,5,366,346,0.945355191,K to 5,Bridges Academy,1325 53rd Ave.,Oakland,94601-5728,(510)_535-3876,"1325 53rd Avenue, Oakland, CA 94601, USA",37.7674528,-122.2074742,9.309489250183105,"1325 53rd Avenue, Oakland, CA 94601, USA",37.7674528,-122.2074742,9.309489250183105
2013-14,1,61259,6001663,Oakland Unified,Brookfield Elementary,,,K,5,363,250,0.688705234,K to 5,Brookfield Elementary,401 Jones Ave.,Oakland,94603-1123,(510)_639-3310,"401 Jones Avenue, Oakland, CA 94603, USA",37.7349299,-122.1892999,4.81279182434082,"401 Jones Avenue, Oakland, CA 94603, USA",37.7349299,-122.1892999,4.81279182434082
2013-14,1,61259,6001689,Oakland Unified,Burckhalter Elementary,,,K,5,280,222,0.792857143,K to 5,Burckhalter Elementary,3994 Burckhalter Ave.,Oakland,94605-2616,(510)_729-7700,"3994 Burckhalter Avenue, Oakland, CA 94605, USA",37.7753478,-122.1668778,88.45680236816406,"3994 Burckhalter Avenue, Oakland, CA 94605, USA",37.7753478,-122.1668778,88.45680236816406
2013-14,1,61259,6001697,Oakland Unified,Carl B. Munck Elementary,,,K,5,301,214,0.710963455,K to 5,Carl B. Munck Elementary,11900 Campus Dr.,Oakland,94619-3104,(510)_531-4900,"11900 Campus Drive, Oakland, CA 94619, USA",37.79522,-122.174062,210.1454467773438,"11900 Campus Drive, Oakland, CA 94619, USA",37.79522,-122.174062,210.1454467773438
2013-14,1,61259,125161,Oakland Unified,Castlemont High,,,9,12,564,490,0.868794326,9 to 12,Castlemont High,8601 MacArthur Blvd.,Oakland,94605-4037,(510)_636-1466,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259,22.41740989685059,"8601 MacArthur Boulevard, Oakland, CA 94605, USA",37.7591739,-122.1637259,22.41740989685059
2013-14,1,61259,6001648,Oakland Unified,Chabot Elementary,,,K,5,590,55,0.093220339,K to 5,Chabot Elementary,6686 Chabot Rd.,Oakland,94618-1641,(510)_654-4884,"6686 Chabot Road, Oakland, CA 94618, USA",37.8505437,-122.2409115,78.35523223876953,"6686 Chabot Road, Oakland, CA 94618, USA",37.8505437,-122.2409115,78.35523223876953
2013-14,1,61259,115386,Oakland Unified,Civicorps Corpsmember Academy,948,Directly funded,9,Adult,73,67,0.917808219,9 to Adult,Civicorps Corpsmember Academy,101 Myrtle St.,Oakland,94607-2507,(510)_992-7800,"101 Myrtle Street, Oakland, CA 94607, USA",37.79949000000001,-122.285775,3.135569334030151,"101 Myrtle Street, Oakland, CA 94607, USA",37.79949000000001,-122.285775,3.135569334030151
2013-14,1,61259,6057004,Oakland Unified,Claremont Middle,,,6,8,448,276,0.616071429,6 to 8,Claremont Middle,5750 College Ave.,Oakland,94618-1629,(510)_654-7337,"5750 College Avenue, Oakland, CA 94618, USA",37.845545,-122.2518717,56.33307647705078,"5750 College Avenue, Oakland, CA 94618, USA",37.845545,-122.2518717,56.33307647705078
2013-14,1,61259,6001739,Oakland Unified,Cleveland Elementary,,,K,5,387,232,0.599483204,K to 5,Cleveland Elementary,745 Cleveland St.,Oakland,94606-1513,(510)_874-3600,"745 Cleveland Street, Oakland, CA 94606, USA",37.8039122,-122.2437517,35.81106185913086,"745 Cleveland Street, Oakland, CA 94606, USA",37.8039122,-122.2437517,35.81106185913086
2013-14,1,61259,112797,Oakland Unified,Coliseum College Prep Academy,,,6,12,473,466,0.985200846,6 to 12,Coliseum College Prep Academy,1390 66th Ave.,Oakland,94621-3506,(510)_639-3201,"1390 66th Avenue, Oakland, CA 94621, USA",37.7619967,-122.1934685,7.164653778076172,"1390 66th Avenue, Oakland, CA 94621, USA",37.7619967,-122.1934685,7.164653778076172
2013-14,1,61259,106542,Oakland Unified,Community Day,,,9,12,16,13,0.8125,9 to 12,Community Day,4917 Mountain Blvd.,Oakland,94619,(510)_531-6800,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773,85.53245544433594,"4917 Mountain Boulevard, Oakland, CA 94619, USA",37.7870171,-122.1770773,85.53245544433594
2013-14,1,61259,115204,Oakland Unified,Community United Elementary,,,K,5,421,386,0.916864608,K to 5,Community United Elementary,6701 International Blvd.,Oakland,94621,(510)_639-2850,"6701 International Boulevard, Oakland, CA 94621, USA",37.7611287,-122.1920065,8.012824058532715,"6701 International Boulevard, Oakland, CA 94621, USA",37.7611287,-122.1920065,8.012824058532715
2013-14,1,61259,114454,Oakland Unified,Conservatory of Vocal/Instrumental Arts,864,Directly funded,K,8,231,127,0.54978355,K to 8,Conservatory of Vocal/Instrumental Arts,3800 Mountain Blvd.,Oakland,94619-1630,(510)_285-7511,"3800 Mountain Boulevard, Oakland, CA 94619, USA",37.7997423,-122.1845847,170.3032531738281,"3800 Mountain Boulevard, Oakland, CA 94619, USA",37.7997423,-122.1845847,170.3032531738281
2013-14,1,61259,6001754,Oakland Unified,Crocker Highlands Elementary,,,K,5,431,26,0.060324826,K to 5,Crocker Highlands Elementary,525 Midcrest Rd.,Oakland,94610-1813,(510)_451-5900,"525 Midcrest Road, Oakland, CA 94610, USA",37.811037,-122.2272755,71.75083923339844,"525 Midcrest Road, Oakland, CA 94610, USA",37.811037,-122.2272755,71.75083923339844
2013-14,1,61259,132688,Oakland Unified,Dewey Academy,,,9,12,246,199,0.808943089,9 to 12,Dewey Academy,1111 2nd Ave.,Oakland,94606,(510)_874-3660,"1111 2nd Avenue, Oakland, CA 94606, USA",37.7968177,-122.2582004,9.556313514709473,"1111 2nd Avenue, Oakland, CA 94606, USA",37.7968177,-122.2582004,9.556313514709473
2013-14,1,61259,100123,Oakland Unified,East Oakland Leadership Academy,499,Directly funded,K,8,116,113,0.974137931,K to 8,East Oakland Leadership Academy,2614 Seminary Ave.,Oakland,94605,(510)_562-5238,"2614 Seminary Avenue, Oakland, CA 94605, USA",37.771791,-122.189673,19.67412757873535,"2614 Seminary Avenue, Oakland, CA 94605, USA",37.771791,-122.189673,19.67412757873535
2013-14,1,61259,115600,Oakland Unified,East Oakland Pride Elementary,,,K,5,456,442,0.969298246,K to 5,East Oakland Pride Elementary,8000 Birch St.,Oakland,94621-2123,(510)_636-8217,"8000 Birch Street, Oakland, CA 94621, USA",37.75906800000001,-122.1745503,14.11777973175049,"8000 Birch Street, Oakland, CA 94621, USA",37.75906800000001,-122.1745503,14.11777973175049
2013-14,1,61259,6057061,Oakland Unified,Edna Brewer Middle,,,6,8,807,565,0.700123916,6 to 8,Edna Brewer Middle,3748 13th Ave.,Oakland,94610-2820,(510)_531-6600,"3748 13th Avenue, Oakland, CA 94610, USA",37.8037458,-122.2293628,61.87703323364258,"3748 13th Avenue, Oakland, CA 94610, USA",37.8037458,-122.2293628,61.87703323364258
2013-14,1,61259,112789,Oakland Unified,Elmhurst Community Prep,,,6,8,365,325,0.890410959,6 to 8,Elmhurst Community Prep,1800 98th Ave.,Oakland,94603-2702,(510)_639-2888,"1800 98th Avenue, Oakland, CA 94603, USA",37.7460375,-122.1653968,10.4210844039917,"1800 98th Avenue, Oakland, CA 94603, USA",37.7460375,-122.1653968,10.4210844039917
2013-14,1,61259,6001812,Oakland Unified,Emerson Elementary,,,K,5,335,276,0.823880597,K to 5,Emerson Elementary,4803 Lawton Ave.,Oakland,94609-2208,(510)_654-7373,"4803 Lawton Avenue, Oakland, CA 94609, USA",37.8343895,-122.2573247,34.15304183959961,"4803 Lawton Avenue, Oakland, CA 94609, USA",37.8343895,-122.2573247,34.15304183959961
2013-14,1,61259,102988,Oakland Unified,EnCompass Academy Elementary,,,K,5,297,267,0.898989899,K to 5,EnCompass Academy Elementary,1025 81st Ave.,Oakland,94621-2455,(510)_639-3350,"1025 81st Avenue, Oakland, CA 94621, USA",37.7528862,-122.1869131,5.203295230865479,"1025 81st Avenue, Oakland, CA 94621, USA",37.7528862,-122.1869131,5.203295230865479
2013-14,1,61259,6002190,Oakland Unified,Esperanza Elementary,,,K,5,334,311,0.931137725,K to 5,Esperanza Elementary,10315 E St.,Oakland,94603-3133,(510)_639-3367,"10315 E Street, Oakland, CA 94603, USA",37.7374958,-122.1735356,10.10243606567383,"10315 E Street, Oakland, CA 94603, USA",37.7374958,-122.1735356,10.10243606567383
2013-14,1,61259,6001820,Oakland Unified,Franklin Elementary,,,K,5,750,668,0.890666667,K to 5,Franklin Elementary,915 Foothill Blvd.,Oakland,94606-3013,(510)_874-3354,"915 Foothill Boulevard, Oakland, CA 94606, USA",37.7935615,-122.2486628,11.74593353271484,"915 Foothill Boulevard, Oakland, CA 94606, USA",37.7935615,-122.2486628,11.74593353271484
2013-14,1,61259,112813,Oakland Unified,Fred T. Korematsu Discovery Academy,,,K,5,406,318,0.783251232,K to 5,Fred T. Korematsu Discovery Academy,10315 E St.,Oakland,94603-3133,(510)_639-3377,"10315 E Street, Oakland, CA 94603, USA",37.7374958,-122.1735356,10.10243606567383,"10315 E Street, Oakland, CA 94603, USA",37.7374958,-122.1735356,10.10243606567383
2013-14,1,61259,125716,Oakland Unified,Fremont High,,,9,12,727,602,0.828060523,9 to 12,Fremont High,4610 Foothill Blvd.,Oakland,94601-4618,(510)_434-5257,"4610 Foothill Boulevard, Oakland, CA 94601, USA",37.7743865,-122.2102413,13.66384887695312,"4610 Foothill Boulevard, Oakland, CA 94601, USA",37.7743865,-122.2102413,13.66384887695312
2013-14,1,61259,6057020,Oakland Unified,Frick Middle,,,6,8,312,298,0.955128205,6 to 8,Frick Middle,2845 64th Ave.,Oakland,94605-2027,(510)_729-7736,"2845 64th Avenue, Oakland, CA 94605, USA",37.7714567,-122.1841092,22.74165153503418,"2845 64th Avenue, Oakland, CA 94605, USA",37.7714567,-122.1841092,22.74165153503418
2013-14,1,61259,6001838,Oakland Unified,Fruitvale Elementary,,,K,5,437,339,0.775743707,K to 5,Fruitvale Elementary,3200 Boston Ave.,Oakland,94602-2899,(510)_535-2840,"3200 Boston Avenue, Oakland, CA 94602, USA",37.7962778,-122.2137663,58.26631164550781,"3200 Boston Avenue, Oakland, CA 94602, USA",37.7962778,-122.2137663,58.26631164550781
2013-14,1,61259,115576,Oakland Unified,Futures Elementary,,,K,5,332,304,0.915662651,K to 5,Futures Elementary,6701 International Blvd.,Oakland,94621-3501,(510)_636-0520,"6701 International Boulevard, Oakland, CA 94621, USA",37.7611287,-122.1920065,8.012824058532715,"6701 International Boulevard, Oakland, CA 94621, USA",37.7611287,-122.1920065,8.012824058532715
2013-14,1,61259,6001846,Oakland Unified,Garfield Elementary,,,K,5,604,559,0.925496689,K to 5,Garfield Elementary,1640 22nd Ave.,Oakland,94606-4710,(510)_535-2857,"1640 22nd Avenue, Oakland, CA 94606, USA",37.7865043,-122.2356409,15.92616748809814,"1640 22nd Avenue, Oakland, CA 94606, USA",37.7865043,-122.2356409,15.92616748809814
2013-14,1,61259,119859,Oakland Unified,Gateway to College at Laney College,,,9,12,96,39,0.40625,9 to 12,Gateway to College at Laney College,900 Fallon St.,Oakland,94607,(510)_464-3592,"900 Fallon Street, Oakland, CA 94607, USA",37.7949249,-122.263102,5.577657699584961,"900 Fallon Street, Oakland, CA 94607, USA",37.7949249,-122.263102,5.577657699584961
2013-14,1,61259,6001853,Oakland Unified,Glenview Elementary,,,K,5,465,171,0.367741935,K to 5,Glenview Elementary,4215 La Cresta Ave.,Oakland,94602-1739,(510)_531-6677,"4215 La Cresta Avenue, Oakland, CA 94602, USA",37.805891,-122.219759,80.88722229003906,"4215 La Cresta Avenue, Oakland, CA 94602, USA",37.805891,-122.219759,80.88722229003906
2013-14,1,61259,115584,Oakland Unified,Global Family,,,K,5,417,407,0.976019185,K to 5,Global Family,2035 40th Ave.,Oakland,94601-4203,(510)_535-3862,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426,29.90090179443359,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426,29.90090179443359
2013-14,1,61259,6001879,Oakland Unified,Grass Valley Elementary,,,K,5,269,190,0.706319703,K to 5,Grass Valley Elementary,4720 Dunkirk Ave.,Oakland,94605-5607,(510)_636-4653,"4720 Dunkirk Avenue, Oakland, CA 94605, USA",37.7531517,-122.124953,132.5083312988281,"4720 Dunkirk Avenue, Oakland, CA 94605, USA",37.7531517,-122.124953,132.5083312988281
2013-14,1,61259,115618,Oakland Unified,Greenleaf Elementary,,,P,8,548,460,0.839416058,P to 8,Greenleaf Elementary,6328 East 17th St.,Oakland,94621-3832,(510)_636-1400,"6328 East 17th Street, Oakland, CA 94621, USA",37.7646264,-122.1943384,9.940914154052734,"6328 East 17th Street, Oakland, CA 94621, USA",37.7646264,-122.1943384,9.940914154052734
2013-14,1,61259,6001911,Oakland Unified,Hillcrest Elementary,,,K,8,346,14,0.040462428,K to 8,Hillcrest Elementary,30 Marguerite Dr.,Oakland,94618-2230,(510)_654-6590,"30 Marguerite Drive, Oakland, CA 94618, USA",37.8404373,-122.2324047,133.5681457519531,"30 Marguerite Drive, Oakland, CA 94618, USA",37.8404373,-122.2324047,133.5681457519531
2013-14,1,61259,121376,Oakland Unified,Home and Hospital Program,,,K,12,6,1,0.166666667,K to 12,Home and Hospital Program,2850 West St.,Oakland,94608-4536,(510)_597-4294,"2850 West Street, Oakland, CA 94608, USA",37.81851,-122.273017,9.92009449005127,"2850 West Street, Oakland, CA 94608, USA",37.81851,-122.273017,9.92009449005127
2013-14,1,61259,6057046,Oakland Unified,Hoover Elementary,,,K,5,291,254,0.872852234,K to 5,Hoover Elementary,890 Brockhurst St.,Oakland,94608-4318,(510)_879-1700,"890 Brockhurst Street, Oakland, CA 94608, USA",37.823272,-122.27426,10.93329048156738,"890 Brockhurst Street, Oakland, CA 94608, USA",37.823272,-122.27426,10.93329048156738
2013-14,1,61259,6001929,Oakland Unified,Horace Mann Elementary,,,K,5,369,344,0.932249322,K to 5,Horace Mann Elementary,5222 Ygnacio Ave.,Oakland,94601-5422,(510)_879-1360,"5222 Ygnacio Avenue, Oakland, CA 94601, USA",37.7735177,-122.2023497,20.19066047668457,"5222 Ygnacio Avenue, Oakland, CA 94601, USA",37.7735177,-122.2023497,20.19066047668457
2013-14,1,61259,6001713,Oakland Unified,Howard Elementary,,,K,5,197,173,0.878172589,K to 5,Howard Elementary,8755 Fontaine St.,Oakland,94605-4197,(510)_639-3244,"8755 Fontaine Street, Oakland, CA 94605, USA",37.762239,-122.1522393,132.1015014648438,"8755 Fontaine Street, Oakland, CA 94605, USA",37.762239,-122.1522393,132.1015014648438
2013-14,1,61259,6114011,Oakland Unified,"Independent Study, Sojourner Truth",,,K,12,215,137,0.637209302,K to 12,"Independent Study, Sojourner Truth",8251 Fontaine St.,Oakland,94605,(510)_729-4308,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984,"8251 Fontaine Street, Oakland, CA 94605, USA",37.7662439,-122.1542523,102.6795501708984
2013-14,1,61259,121210,Oakland Unified,Infant and Preschool Program,,,P,P,3,2,0.666666667,P to P,Infant and Preschool Program,4521 Webster St.,Oakland,94609,(510)_597-4294,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771,34.66066741943359,"4521 Webster Street, Oakland, CA 94609, USA",37.83394,-122.2606771,34.66066741943359
2013-14,1,61259,6118616,Oakland Unified,International Community,,,K,5,345,329,0.953623188,K to 5,International Community,2825 International Blvd.,Oakland,94601-1543,(510)_532-5400,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619,12.54784965515137,"2825 International Boulevard, Oakland, CA 94601, USA",37.7793766,-122.230619,12.54784965515137
2013-14,1,61259,6001945,Oakland Unified,Joaquin Miller Elementary,,,K,5,422,71,0.168246445,K to 5,Joaquin Miller Elementary,5525 Ascot Dr.,Oakland,94611-3001,(510)_531-6688,"5525 Ascot Drive, Oakland, CA 94611, USA",37.8188596,-122.2017566,204.5884704589844,"5525 Ascot Drive, Oakland, CA 94611, USA",37.8188596,-122.2017566,204.5884704589844
2013-14,1,61259,6001895,Oakland Unified,Kaiser Elementary,,,K,5,274,86,0.313868613,K to 5,Kaiser Elementary,25 South Hill Ct.,Oakland,94618-2306,(510)_549-4900,"25 South Hill Court, Oakland, CA 94618, USA",37.8534934,-122.2319551,191.6554260253906,"25 South Hill Court, Oakland, CA 94618, USA",37.8534934,-122.2319551,191.6554260253906
2013-14,1,61259,115014,Oakland Unified,KIPP Bridge Charter,938,Directly funded,5,8,309,219,0.708737864,5 to 8,KIPP Bridge Charter,991 14th St.,Oakland,94607-3230,(510)_874-7255,"991 14th Street, Oakland, CA 94607, USA",37.8087468,-122.2825981,7.41025447845459,"991 14th Street, Oakland, CA 94607, USA",37.8087468,-122.2825981,7.41025447845459
2013-14,1,61259,6096523,Oakland Unified,La Escuelita Elementary,,,K,5,296,270,0.912162162,K to 5,La Escuelita Elementary,1100 Third Ave.,Oakland,94606-2227,(510)_874-7762,"1100 3rd Avenue, Oakland, CA 94606, USA",37.7955602,-122.2570204,8.84041690826416,"1100 3rd Avenue, Oakland, CA 94606, USA",37.7955602,-122.2570204,8.84041690826416
2013-14,1,61259,6001978,Oakland Unified,Lafayette Elementary,,,K,5,274,260,0.948905109,K to 5,Lafayette Elementary,1700 Market St.,Oakland,94607-3330,(510)_874-7774,"1700 Market Street, Oakland, CA 94607, USA",37.810223,-122.2794106,9.528925895690918,"1700 Market Street, Oakland, CA 94607, USA",37.810223,-122.2794106,9.528925895690918
2013-14,1,61259,6001994,Oakland Unified,Laurel Elementary,,,K,5,556,447,0.803956835,K to 5,Laurel Elementary,3750 Brown Ave.,Oakland,94619-1406,(510)_531-6868,"3750 Brown Avenue, Oakland, CA 94619, USA",37.7929346,-122.1960912,68.13512420654297,"3750 Brown Avenue, Oakland, CA 94619, USA",37.7929346,-122.1960912,68.13512420654297
2013-14,1,61259,115592,Oakland Unified,Learning Without Limits,1442,Directly funded,K,5,388,363,0.93556701,K to 5,Learning Without Limits,2035 40th Ave.,Oakland,94601-4203,(510)_879-1282,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426,29.90090179443359,"2035 40th Avenue, Oakland, CA 94601, USA",37.7800607,-122.2130426,29.90090179443359
2013-14,1,61259,130575,Oakland Unified,LIFE Academy,,,6,12,419,395,0.942720764,6 to 12,LIFE Academy,2101 35th Ave.,Oakland,94601-3124,(510)_534-0282,"2101 35th Avenue, Oakland, CA 94601, USA",37.78480140000001,-122.2169083,26.8600959777832,"2101 35th Avenue, Oakland, CA 94601, USA",37.78480140000001,-122.2169083,26.8600959777832
2013-14,1,61259,130633,Oakland Unified,Lighthouse Community Charter,413,Directly funded,K,8,502,422,0.84063745,K to 8,Lighthouse Community Charter,444 Hegenberger St.,Oakland,94621-1418,(510)_562-8801,"444 Hegenberger Road, Oakland, CA 94621, USA",37.736145,-122.195709,3.9112708568573,"444 Hegenberger Road, Oakland, CA 94621, USA",37.736145,-122.195709,3.9112708568573
2013-14,1,61259,108944,Oakland Unified,Lighthouse Community Charter High,700,Directly funded,9,12,236,209,0.88559322,9 to 12,Lighthouse Community Charter High,444 Hegenberger Rd.,Oakland,94621-1418,(510)_562-8225,"444 Hegenberger Road, Oakland, CA 94621, USA",37.7363758,-122.1968344,3.456497192382812,"444 Hegenberger Road, Oakland, CA 94621, USA",37.7363758,-122.1968344,3.456497192382812
